CustomerID,Age,Annual Income (k$),Spending Score (1-100),Gender
465,32,104,74,Female
466,60,108,23,Male
467,54,27,3,Female
468,50,80,32,Female
469,25,51,20,Male
470,70,80,74,Male
471,61,50,29,Male
472,61,40,52,Male
473,22,89,46,Male
474,56,122,34,Female
475,21,57,84,Male
476,23,22,61,Female
477,62,43,72,Male
478,49,54,71,Female
479,69,142,70,Female
480,47,98,11,Male
481,64,130,82,Male
482,52,76,93,Female
483,57,21,89,Female
484,69,59,63,Male
485,33,102,21,Female
486,30,87,3,Female
487,67,51,82,Female
488,59,133,88,Female
489,47,71,10,Female
490,36,22,27,Female
491,34,109,12,Male
492,36,131,7,Male
493,45,124,17,Male
494,43,34,65,Male
495,54,138,64,Female
496,43,67,26,Male
497,70,133,15,Female
498,40,26,33,Female
499,26,31,62,Male
500,29,78,47,Male
501,70,56,95,Female
502,18,108,35,Male
503,18,25,65,Male
504,64,112,72,Female
505,51,85,76,Female
506,49,122,83,Female
507,65,72,25,Female
508,42,48,57,Female
509,57,34,32,Female
510,62,64,63,Male
511,70,116,12,Male
512,18,66,63,Male
513,33,29,77,Female
514,56,98,92,Female
515,22,145,1,Male
516,39,51,51,Male
517,46,140,70,Male
518,20,54,8,Female
519,29,86,68,Male
520,43,54,5,Male
521,33,70,89,Male
522,68,118,86,Female
523,54,124,92,Male
524,39,150,39,Male
525,46,107,23,Female
526,31,108,68,Female
527,45,70,52,Female
528,22,74,4,Female
529,64,53,47,Female
530,66,42,21,Male
531,47,63,56,Male
532,63,139,66,Female
533,69,27,59,Female
534,22,50,7,Female
535,29,115,49,Female
536,33,40,16,Male
537,43,100,17,Male
538,43,18,84,Female
539,65,96,87,Female
540,38,141,98,Female
541,56,102,75,Female
542,53,141,34,Male
543,50,134,33,Female
544,47,36,26,Female
545,54,144,66,Male
546,40,45,63,Female
547,27,133,87,Male
548,22,25,41,Female
549,53,60,86,Female
550,51,110,58,Male
551,69,24,98,Female
552,48,142,79,Male
553,27,113,10,Male
554,36,126,15,Male
555,49,74,42,Female
556,18,101,93,Female
557,22,79,57,Male
558,62,71,87,Female
559,21,120,17,Female
560,33,23,60,Female
561,41,36,9,Male
562,33,103,36,Male
563,19,32,73,Female
564,66,129,80,Male
565,45,120,36,Female
566,49,29,48,Female
567,44,77,51,Female
568,37,27,97,Male
569,41,95,95,Male
570,29,46,70,Female
571,67,54,74,Male
572,52,96,80,Female
573,50,91,68,Male
574,50,90,22,Male
575,68,52,77,Male
576,60,85,80,Female
577,54,62,93,Female
578,29,32,6,Female
579,20,53,26,Male
580,18,103,75,Female
581,50,76,88,Female
582,57,123,93,Female
583,27,95,3,Female
584,60,148,52,Male
585,61,91,74,Male
586,46,104,60,Female
587,30,28,63,Male
588,29,109,65,Male
589,48,68,52,Male
590,63,146,90,Male
591,19,53,76,Male
592,68,86,14,Female
593,67,39,89,Male
594,52,91,72,Female
595,40,134,68,Female
596,34,67,28,Female
597,43,145,71,Male
598,25,110,10,Male
599,46,86,57,Male
600,43,76,100,Male
601,27,20,66,Female
602,43,46,90,Female
603,51,113,50,Female
604,68,145,14,Male
605,58,90,16,Female
606,24,73,54,Female
607,21,45,43,Female
608,70,107,42,Male
609,67,83,81,Female
610,62,66,22,Female
611,28,103,68,Male
612,46,141,19,Female
613,53,45,66,Male
614,42,98,39,Female
615,38,141,73,Male
616,53,146,19,Male
617,27,27,16,Male
618,54,59,54,Female
619,26,141,25,Female
620,41,128,18,Male
621,52,34,23,Male
622,66,95,85,Male
623,52,143,11,Male
624,65,31,39,Male
625,53,72,68,Male
626,35,86,25,Male
627,66,123,63,Male
628,56,37,96,Male
629,49,86,30,Male
630,41,22,45,Male
631,40,73,90,Male
632,49,125,61,Female
633,54,27,100,Male
634,29,30,51,Female
635,66,133,98,Female
636,30,16,9,Female
637,40,44,76,Male
638,42,117,2,Female
639,52,27,5,Male
640,58,110,62,Female
641,47,108,69,Male
642,34,96,52,Male
643,66,27,86,Female
644,37,108,5,Female
645,65,126,59,Male
646,42,69,68,Female
647,39,95,9,Male
648,30,130,93,Male
649,36,122,22,Male
650,66,67,27,Female
651,53,142,10,Male
652,29,71,80,Male
653,58,66,61,Male
654,36,125,51,Male
655,29,15,10,Female
656,26,58,6,Female
657,24,89,62,Female
658,45,112,5,Female
659,31,23,70,Male
660,48,46,63,Male
661,69,29,56,Male
662,36,150,59,Male
663,64,86,63,Male
664,33,26,89,Male
665,70,79,59,Female
666,22,121,51,Male
667,52,56,50,Male
668,29,129,4,Male
669,42,117,48,Female
670,69,109,32,Male
671,38,31,51,Male
672,53,99,52,Male
673,70,70,99,Female
674,40,148,74,Male
675,33,100,34,Male
676,56,116,36,Female
677,62,68,70,Male
678,70,129,43,Female
679,59,102,16,Male
680,56,63,59,Female
681,31,129,53,Male
682,48,77,19,Male
683,22,118,98,Female
684,52,97,89,Male
685,40,117,95,Male
686,46,31,41,Female
687,60,20,81,Male
688,28,42,47,Female
689,35,52,94,Male
690,64,133,54,Female
691,29,51,55,Male
692,26,129,95,Male
693,27,82,19,Female
694,61,57,62,Male
695,34,72,99,Female
696,55,27,93,Female
697,24,66,59,Female
698,63,72,65,Male
699,30,46,68,Male
700,57,119,28,Male
701,59,97,18,Female
702,26,113,26,Female
703,67,118,19,Female
704,44,42,55,Male
705,19,143,57,Female
706,22,62,6,Male
707,46,54,1,Male
708,54,111,8,Male
709,55,128,97,Male
710,36,146,51,Male
711,25,125,85,Male
712,65,90,88,Male
713,62,45,25,Male
714,18,133,47,Female
715,39,39,55,Male
716,69,48,64,Male
717,34,81,83,Female
718,24,132,93,Female
719,42,87,10,Female
720,62,40,56,Female
721,21,118,12,Male
722,53,24,33,Female
723,23,81,71,Female
724,48,19,17,Female
725,36,41,61,Female
726,61,127,10,Male
727,56,29,31,Female
728,44,119,60,Female
729,27,58,70,Female
730,43,40,17,Female
731,36,109,50,Male
732,56,98,37,Female
733,20,146,82,Female
734,62,101,62,Female
735,30,126,90,Male
736,67,143,80,Female
737,45,103,72,Female
738,37,80,88,Male
739,45,145,77,Female
740,25,136,29,Male
741,58,98,32,Male
742,56,130,88,Female
743,18,130,80,Female
744,20,52,11,Male
745,30,124,96,Male
746,45,60,6,Female
747,66,39,35,Male
748,42,35,33,Male
749,50,135,18,Female
750,55,136,37,Male
751,70,147,13,Male
752,23,84,74,Male
753,61,127,90,Male
754,62,121,81,Male
755,49,126,64,Male
756,62,122,1,Female
757,64,61,63,Male
758,38,105,89,Female
759,33,32,34,Female
760,38,118,10,Female
761,28,54,84,Female
762,54,103,7,Female
763,53,75,56,Female
764,52,19,80,Female
765,36,136,37,Female
766,37,69,29,Male
767,35,51,12,Female
768,64,70,17,Female
769,58,116,48,Female
770,66,107,84,Male
771,31,87,26,Female
772,32,73,83,Male
773,48,16,12,Female
774,18,118,21,Female
775,70,65,42,Male
776,20,44,61,Female
777,33,25,58,Male
778,40,122,54,Male
779,28,90,34,Female
780,29,104,7,Female
781,27,137,35,Male
782,49,139,15,Male
783,33,136,65,Female
784,25,108,90,Female
785,55,117,99,Female
786,29,45,25,Male
787,41,66,59,Female
788,45,103,79,Male
789,70,90,86,Female
790,25,143,6,Male
791,45,36,52,Male
792,53,54,79,Female
793,43,115,88,Male
794,25,125,21,Male
795,67,143,71,Male
796,45,79,93,Male
797,45,93,96,Male
798,54,36,32,Female
799,58,113,53,Female
800,53,22,59,Male
801,44,31,69,Female
802,34,31,62,Male
803,26,104,4,Male
804,50,95,86,Female
805,70,92,18,Male
806,37,20,99,Male
807,30,124,81,Male
808,45,28,56,Female
809,65,86,24,Female
810,46,68,66,Male
811,30,41,13,Male
812,63,27,62,Male
813,52,74,54,Male
814,23,20,15,Male
815,35,72,69,Female
816,68,63,3,Female
817,22,40,37,Female
818,64,61,37,Female
819,42,19,3,Male
820,19,34,63,Male
821,27,148,35,Female
822,47,73,52,Female
823,67,146,87,Male
824,62,31,28,Female
825,22,28,94,Male
826,50,27,18,Male
827,18,149,36,Male
828,35,142,33,Female
829,49,58,64,Female
830,64,133,26,Female
831,66,33,48,Female
832,28,77,40,Female
833,38,95,17,Male
834,43,114,40,Female
835,42,136,7,Male
836,39,58,57,Male
837,44,118,8,Male
838,66,75,56,Female
839,30,139,31,Female
840,50,85,59,Female
841,51,121,58,Female
842,58,64,12,Female
843,52,79,48,Female
844,18,113,31,Female
845,38,46,83,Female
846,65,72,63,Male
847,23,142,74,Female
848,45,126,39,Male
849,34,82,76,Male
850,22,54,20,Male
851,48,146,48,Male
852,22,104,71,Female
853,55,42,54,Female
854,20,110,78,Male
855,70,45,75,Male
856,40,17,71,Male
857,54,150,29,Female
858,70,38,74,Male
859,54,29,93,Male
860,27,59,73,Female
861,27,22,100,Male
862,36,85,48,Female
863,34,122,74,Female
864,38,129,83,Male
865,31,117,56,Male
866,26,139,95,Male
867,63,71,17,Female
868,18,44,9,Female
869,68,128,97,Female
870,62,131,34,Male
871,30,74,45,Male
872,21,112,88,Male
873,18,140,9,Male
874,66,108,7,Male
875,57,148,16,Male
876,49,136,19,Female
877,51,122,6,Female
878,45,18,11,Female
879,48,107,76,Male
880,25,20,61,Female
881,56,46,42,Female
882,43,120,13,Female
883,51,29,12,Male
884,20,136,85,Male
885,67,110,74,Female
886,29,20,20,Male
887,18,126,50,Male
888,61,134,36,Male
889,22,137,92,Male
890,47,81,88,Female
891,47,120,69,Male
892,34,57,37,Female
893,65,110,12,Female
894,64,146,99,Male
895,40,95,40,Male
896,32,55,54,Male
897,54,147,2,Female
898,38,49,50,Female
899,31,36,41,Female
900,19,126,45,Female
901,28,25,9,Female
902,68,17,62,Female
903,56,74,86,Female
904,55,90,47,Male
905,51,101,5,Female
906,55,28,76,Female
907,67,32,1,Female
908,51,127,44,Female
909,35,87,22,Male
910,47,37,38,Female
911,32,97,19,Female
912,44,139,80,Male
913,68,83,31,Male
914,51,61,67,Female
915,69,130,87,Female
916,55,44,42,Female
917,50,39,82,Female
918,41,126,26,Female
919,32,39,13,Female
920,47,88,58,Male
921,59,72,18,Male
922,68,108,67,Female
923,34,133,87,Female
924,22,141,3,Female
925,46,39,55,Male
926,21,92,89,Female
927,27,113,91,Male
928,34,130,58,Male
929,27,62,63,Female
930,34,24,91,Male
931,37,113,52,Female
932,41,25,89,Male
933,22,99,24,Female
934,51,149,72,Female
935,23,140,9,Male
936,70,78,37,Male
937,19,16,94,Male
938,30,90,83,Female
939,60,135,53,Male
940,60,56,80,Male
941,65,68,24,Female
942,28,89,21,Female
943,68,30,100,Male
944,64,32,40,Male
945,40,104,62,Male
946,33,20,70,Female
947,48,122,69,Female
948,28,62,14,Male
949,33,56,42,Female
950,25,90,50,Male
951,21,91,61,Male
952,57,146,4,Female
953,21,144,72,Male
954,42,73,88,Male
955,20,41,75,Female
956,49,93,17,Male
957,20,86,85,Male
958,44,21,57,Female
959,46,125,90,Male
960,49,133,48,Male
961,67,77,44,Female
962,68,138,45,Female
963,36,26,91,Female
964,38,57,80,Male
965,22,31,90,Female
966,35,77,33,Male
967,45,134,31,Female
968,59,50,47,Male
969,39,22,6,Male
970,38,83,72,Female
971,23,104,71,Male
972,18,50,34,Male
973,22,42,53,Female
974,58,132,14,Male
975,29,107,16,Male
976,43,90,43,Male
977,63,115,73,Female
978,51,28,74,Female
979,66,85,81,Female
980,31,138,12,Female
981,43,139,70,Female
982,62,51,19,Female
983,44,43,41,Female
984,26,33,53,Female
985,43,120,29,Male
986,64,35,70,Male
987,39,78,59,Male
988,64,41,89,Male
989,47,69,64,Female
990,60,43,24,Male
991,65,39,89,Male
992,34,84,16,Male
993,43,77,52,Male
994,53,144,80,Male
995,18,30,6,Female
996,25,114,37,Female
997,66,44,85,Male
998,52,59,4,Male
999,69,33,98,Male
1000,32,48,92,Male
1001,64,76,38,Female
1002,39,132,41,Male
1003,31,114,92,Female
1004,43,36,81,Male
1005,45,125,14,Female
1006,40,87,71,Female
1007,31,52,86,Female
1008,41,84,51,Male
1009,19,130,65,Male
1010,62,93,93,Female
1011,43,23,52,Male
1012,31,46,95,Male
1013,68,146,30,Female
1014,24,64,57,Male
1015,20,96,79,Female
1016,64,19,82,Male
1017,40,101,99,Male
1018,63,140,30,Female
1019,60,89,98,Female
1020,64,36,42,Female
1021,62,82,11,Female
1022,35,58,27,Male
1023,55,48,24,Male
1024,52,91,99,Male
1025,68,56,39,Female
1026,32,120,72,Male
1027,42,109,18,Male
1028,54,149,77,Male
1029,45,82,45,Female
1030,27,142,88,Female
1031,56,99,87,Male
1032,34,97,12,Male
1033,56,109,49,Female
1034,39,46,94,Female
1035,43,80,31,Female
1036,61,130,92,Female
1037,42,144,22,Male
1038,34,74,44,Female
1039,30,31,92,Male
1040,37,110,64,Female
1041,42,30,77,Male
1042,21,60,25,Male
1043,27,121,51,Female
1044,20,102,7,Male
1045,58,143,6,Male
1046,62,133,24,Male
1047,35,99,19,Female
1048,64,18,83,Female
1049,53,85,100,Female
1050,64,125,9,Male
1051,39,64,36,Male
1052,51,109,40,Male
1053,64,106,93,Male
1054,25,79,24,Female
1055,57,61,48,Male
1056,66,120,63,Male
1057,61,144,69,Male
1058,36,120,53,Female
1059,59,38,54,Male
1060,58,18,42,Female
1061,54,122,45,Female
1062,23,33,90,Male
1063,69,54,14,Male
1064,43,64,29,Male
1065,51,89,6,Male
1066,62,26,7,Female
1067,23,41,37,Female
1068,54,127,53,Female
1069,50,63,18,Female
1070,70,144,87,Female
1071,39,74,38,Female
1072,38,44,59,Female
1073,23,98,1,Female
1074,23,42,68,Female
1075,65,39,44,Female
1076,21,110,47,Male
1077,47,139,35,Male
1078,28,24,87,Male
1079,47,56,91,Female
1080,48,54,60,Male
1081,41,91,90,Female
1082,26,119,52,Female
1083,20,132,8,Male
1084,68,56,80,Female
1085,48,61,41,Male
1086,57,36,3,Female
1087,54,121,96,Female
1088,53,41,69,Male
1089,41,55,84,Male
1090,48,94,14,Male
1091,23,103,96,Male
1092,19,80,26,Male
1093,37,26,70,Male
1094,45,87,58,Female
1095,28,90,100,Female
1096,21,104,40,Female
1097,32,24,51,Female
1098,23,110,5,Male
1099,66,34,77,Female
1100,47,53,32,Female
1101,55,74,80,Male
1102,68,80,1,Female
1103,19,79,77,Male
1104,32,138,54,Male
1105,28,144,11,Male
1106,25,71,53,Female
1107,43,92,8,Male
1108,68,43,25,Female
1109,62,29,40,Female
1110,61,26,32,Female
1111,22,115,88,Male
1112,23,98,28,Male
1113,43,139,78,Male
1114,21,117,3,Female
1115,36,38,100,Female
1116,37,124,91,Male
1117,50,92,84,Female
1118,37,115,79,Male
1119,66,142,62,Male
1120,29,72,27,Female
1121,64,90,45,Female
1122,18,50,92,Male
1123,43,36,25,Female
1124,31,141,61,Male
1125,55,94,44,Male
1126,54,114,97,Female
1127,28,110,46,Male
1128,53,32,14,Female
1129,30,52,8,Male
1130,60,123,48,Female
1131,20,137,14,Female
1132,50,118,65,Male
1133,23,95,80,Female
1134,67,101,82,Female
1135,27,75,7,Male
1136,22,60,79,Female
1137,40,46,88,Male
1138,27,29,49,Female
1139,61,58,55,Male
1140,19,68,13,Male
1141,30,58,73,Male
1142,57,112,56,Male
1143,19,19,56,Female
1144,37,123,15,Male
1145,18,41,57,Female
1146,54,130,58,Male
1147,26,101,35,Female
1148,34,118,88,Male
1149,26,137,97,Female
1150,28,93,16,Female
1151,32,57,8,Male
1152,41,111,93,Male
1153,55,45,87,Male
1154,52,113,45,Female
1155,47,31,95,Female
1156,48,97,40,Female
1157,66,124,54,Female
1158,22,46,14,Male
1159,61,49,59,Male
1160,67,147,94,Male
1161,31,43,53,Male
1162,70,84,27,Female
1163,28,109,47,Female
1164,26,36,80,Male
1165,51,83,6,Female
1166,29,103,55,Male
1167,52,86,97,Female
1168,52,143,44,Female
1169,18,101,18,Female
1170,57,110,16,Female
1171,39,89,12,Female
1172,46,68,20,Female
1173,25,102,45,Male
1174,28,68,64,Female
1175,58,30,59,Male
1176,54,113,93,Male
1177,31,34,94,Male
1178,47,60,90,Male
1179,52,141,22,Male
1180,38,72,97,Male
1181,54,125,47,Female
1182,22,143,29,Female
1183,36,95,86,Female
1184,31,98,45,Male
1185,43,84,77,Male
1186,21,22,9,Male
1187,42,43,24,Female
1188,62,126,15,Female
1189,59,145,36,Female
1190,42,122,13,Male
1191,35,123,91,Male
1192,57,34,44,Male
1193,25,87,71,Female
1194,56,18,72,Male
1195,57,33,78,Male
1196,31,116,76,Male
1197,49,100,36,Male
1198,68,66,61,Female
1199,55,125,81,Female
1200,50,123,40,Male
1201,40,100,93,Male
1202,32,57,27,Female
1203,50,56,1,Female
1204,42,104,34,Male
1205,34,129,68,Female
1206,50,40,88,Female
1207,64,57,21,Male
1208,19,91,33,Female
1209,31,34,7,Female
1210,70,53,65,Female
1211,57,26,3,Female
1212,57,25,51,Male
1213,68,56,79,Female
1214,56,25,95,Female
1215,68,52,54,Male
1216,23,112,80,Female
1217,23,33,74,Male
1218,20,148,93,Male
1219,24,130,59,Female
1220,68,127,6,Female
1221,25,79,29,Female
1222,59,113,17,Female
1223,69,86,60,Female
1224,32,66,22,Male
1225,64,132,24,Female
1226,46,134,81,Male
1227,50,21,85,Female
1228,69,25,51,Male
1229,47,117,50,Female
1230,56,75,11,Female
1231,44,82,56,Female
1232,53,116,71,Female
1233,46,124,42,Female
1234,55,65,39,Male
1235,50,131,69,Female
1236,54,60,48,Female
1237,44,67,57,Female
1238,50,102,21,Male
1239,21,135,82,Female
1240,39,27,99,Male
1241,19,103,20,Female
1242,27,139,15,Male
1243,22,132,69,Female
1244,27,68,77,Female
